Country	 Product 	Units Sold	 Manufacturing Price 	 Sale Price 	 Gross Sales 	 Discounts 	  Sales 	 COGS 	 Profit 	Date	 Month Name 	Year	
United Kingdom	 Luxe 	2160	 $260.00 	 $125.00 	" $270,000.00 "	" $14,906.25 "	" $255,093.75 "	" $238,500.00 "	" $16,593.75 "	1/1/2019	 January 	2019	
Brazil	 Luxe 	466	 $260.00 	 $350.00 	" $163,100.00 "	" $35,259.00 "	" $127,841.00 "	" $436,540.00 "	" $(308,699.00)"	9/1/2019	 September 	2019	
United States of America	 Luxe 	328	 $260.00 	 $350.00 	" $114,800.00 "	" $15,267.00 "	" $99,533.00 "	" $189,020.00 "	" $(89,487.00)"	10/1/2018	 October 	2018	
United Kingdom	 Luxe 	4099	 $260.00 	 $7.00 	" $28,693.00 "	 $589.26 	" $28,103.74 "	" $7,015.00 "	" $21,088.74 "	10/1/2018	 October 	2018	
United Kingdom	 Luxe 	990	 $260.00 	 $350.00 	" $346,500.00 "	" $43,596.00 "	" $302,904.00 "	" $539,760.00 "	" $(236,856.00)"	10/1/2018	 October 	2018	
United Kingdom	 Royal Oak 	1433	 $5.00 	 $20.00 	" $28,660.00 "	" $2,108.40 "	" $26,551.60 "	" $17,570.00 "	" $8,981.60 "	10/1/2018	 October 	2018	
United States of America	 Vermont 	1478	 $10.00 	 $15.00 	" $22,170.00 "	" $1,978.20 "	" $20,191.80 "	" $21,980.00 "	" $(1,788.20)"	8/1/2019	 August 	2019	
India	 Vermont 	3798	 $10.00 	 $15.00 	" $56,970.00 "	" $1,568.70 "	" $55,401.30 "	" $17,430.00 "	" $37,971.30 "	8/1/2019	 August 	2019	
United States of America	 Vermont 	447	 $10.00 	 $15.00 	" $6,705.00 "	" $1,037.70 "	" $5,667.30 "	" $11,530.00 "	" $(5,862.70)"	10/1/2019	 October 	2019	
United Kingdom	 Vermont 	1711	 $10.00 	 $20.00 	" $34,220.00 "	" $2,108.40 "	" $32,111.60 "	" $17,570.00 "	" $14,541.60 "	10/1/2018	 October 	2018	
India	 Burlington 	745	 $120.00 	 $20.00 	" $14,900.00 "	" $1,201.20 "	" $13,698.80 "	" $10,010.00 "	" $3,688.80 "	8/1/2019	 August 	2019	
Brazil	 Burlington 	1732	 $120.00 	 $7.00 	" $12,124.00 "	 $559.86 	" $11,564.14 "	" $6,665.00 "	" $4,899.14 "	11/1/2019	 November 	2019	
United States of America	 Mandarin 	1759	 $250.00 	 $15.00 	" $26,385.00 "	" $1,037.70 "	" $25,347.30 "	" $11,530.00 "	" $13,817.30 "	10/1/2019	 October 	2019	
Brazil	 Kensington 	338	 $3.00 	 $12.00 	" $4,056.00 "	 $610.68 	" $3,445.32 "	" $2,181.00 "	" $1,264.32 "	2/1/2019	 February 	2019	
Japan	 Kensington 	3911	 $3.00 	 $12.00 	" $46,932.00 "	" $1,582.56 "	" $45,349.44 "	" $5,652.00 "	" $39,697.44 "	8/1/2019	 August 	2019	
Brazil	 Kensington 	3691	 $3.00 	 $20.00 	" $73,820.00 "	" $2,567.60 "	" $71,252.40 "	" $18,340.00 "	" $52,912.40 "	9/1/2018	 September 	2018	
Brazil	 Royal Oak 	4473	 $5.00 	 $12.00 	" $53,676.00 "	" $1,965.60 "	" $51,710.40 "	" $7,020.00 "	" $44,690.40 "	1/1/2019	 January 	2019	
United Kingdom	 Royal Oak 	383	 $5.00 	 $12.00 	" $4,596.00 "	" $1,967.28 "	" $2,628.72 "	" $7,026.00 "	" $(4,397.28)"	11/1/2019	 November 	2019	
United Kingdom	 Vermont 	3105	 $10.00 	 $7.00 	" $21,735.00 "	 $505.19 	" $21,229.81 "	" $5,155.00 "	" $16,074.81 "	9/1/2018	 September 	2018	
Japan	 Burlington 	1062	 $120.00 	 $15.00 	" $15,930.00 "	" $1,325.10 "	" $14,604.90 "	" $12,620.00 "	" $1,984.90 "	5/1/2019	 May 	2019	
Japan	 Burlington 	4083	 $120.00 	 $7.00 	" $28,581.00 "	 $556.15 	" $28,024.85 "	" $5,675.00 "	" $22,349.85 "	6/1/2019	 June 	2019	
United States of America	 Burlington 	3974	 $120.00 	 $7.00 	" $27,818.00 "	 $268.03 	" $27,549.97 "	" $2,735.00 "	" $24,814.97 "	11/1/2019	 November 	2019	
Japan	 Burlington 	3723	 $120.00 	 $7.00 	" $26,061.00 "	 $775.18 	" $25,285.82 "	" $7,910.00 "	" $17,375.82 "	12/1/2019	 December 	2019	
United Kingdom	 Mandarin 	2435	 $250.00 	 $12.00 	" $29,220.00 "	" $1,460.34 "	" $27,759.66 "	" $5,215.50 "	" $22,544.16 "	4/1/2019	 April 	2019	
India	 Mandarin 	1678	 $250.00 	 $12.00 	" $20,136.00 "	" $1,860.60 "	" $18,275.40 "	" $6,645.00 "	" $11,630.40 "	9/1/2018	 September 	2018	
Japan	 Mandarin 	1763	 $250.00 	 $7.00 	" $12,341.00 "	 $775.18 	" $11,565.82 "	" $7,910.00 "	" $3,655.82 "	12/1/2019	 December 	2019	
Japan	 Luxe 	4473	 $260.00 	 $7.00 	" $31,311.00 "	 $556.15 	" $30,754.85 "	" $5,675.00 "	" $25,079.85 "	6/1/2019	 June 	2019	
United States of America	 Kensington 	1246	 $3.00 	 $350.00 	" $436,100.00 "	" $43,144.50 "	" $392,955.50 "	" $457,860.00 "	" $(64,904.50)"	3/1/2019	 March 	2019	
United Kingdom	 Kensington 	1615	 $3.00 	 $300.00 	" $484,500.00 "	" $9,408.00 "	" $475,092.00 "	" $112,000.00 "	" $363,092.00 "	6/1/2019	 June 	2019	
United Kingdom	 Kensington 	749	 $3.00 	 $300.00 	" $224,700.00 "	" $45,801.00 "	" $178,899.00 "	" $545,250.00 "	" $(366,351.00)"	10/1/2019	 October 	2019	
United Kingdom	 Royal Oak 	1318	 $5.00 	 $20.00 	" $26,360.00 "	" $2,766.40 "	" $23,593.60 "	" $19,760.00 "	" $3,833.60 "	10/1/2019	 October 	2019	
United Kingdom	 Royal Oak 	2882	 $5.00 	 $300.00 	" $864,600.00 "	" $45,801.00 "	" $818,799.00 "	" $545,250.00 "	" $273,549.00 "	10/1/2019	 October 	2019	
India	 Royal Oak 	3039	 $5.00 	 $125.00 	" $379,875.00 "	" $21,875.00 "	" $358,000.00 "	" $300,000.00 "	" $58,000.00 "	11/1/2018	 November 	2018	
Japan	 Vermont 	2484	 $10.00 	 $300.00 	" $745,200.00 "	" $35,742.00 "	" $709,458.00 "	" $425,500.00 "	" $283,958.00 "	5/1/2019	 May 	2019	
United Kingdom	 Vermont 	3169	 $10.00 	 $300.00 	" $950,700.00 "	" $9,408.00 "	" $941,292.00 "	" $112,000.00 "	" $829,292.00 "	6/1/2019	 June 	2019	
India	 Vermont 	4080	 $10.00 	 $125.00 	" $510,000.00 "	" $30,738.75 "	" $479,261.25 "	" $421,560.00 "	" $57,701.25 "	7/1/2019	 July 	2019	
United Kingdom	 Vermont 	3943	 $10.00 	 $15.00 	" $59,145.00 "	" $2,206.05 "	" $56,938.95 "	" $21,010.00 "	" $35,928.95 "	8/1/2019	 August 	2019	
United States of America	 Vermont 	784	 $10.00 	 $15.00 	" $11,760.00 "	" $3,077.55 "	" $8,682.45 "	" $29,310.00 "	" $(20,627.55)"	9/1/2018	 September 	2018	
United Kingdom	 Vermont 	253	 $10.00 	 $20.00 	" $5,060.00 "	" $2,149.00 "	" $2,911.00 "	" $15,350.00 "	" $(12,439.00)"	9/1/2019	 September 	2019	
India	 Vermont 	1316	 $10.00 	 $300.00 	" $394,800.00 "	" $23,583.00 "	" $371,217.00 "	" $280,750.00 "	" $90,467.00 "	9/1/2018	 September 	2018	
Japan	 Vermont 	808	 $10.00 	 $300.00 	" $242,400.00 "	" $29,484.00 "	" $212,916.00 "	" $351,000.00 "	" $(138,084.00)"	11/1/2018	 November 	2018	
Brazil	 Vermont 	3295	 $10.00 	 $12.00 	" $39,540.00 "	" $2,320.92 "	" $37,219.08 "	" $8,289.00 "	" $28,930.08 "	11/1/2018	 November 	2018	
India	 Vermont 	520	 $10.00 	 $7.00 	" $3,640.00 "	" $1,041.25 "	" $2,598.75 "	" $10,625.00 "	" $(8,026.25)"	12/1/2018	 December 	2018	
United Kingdom	 Burlington 	799	 $120.00 	 $300.00 	" $239,700.00 "	" $34,839.00 "	" $204,861.00 "	" $414,750.00 "	" $(209,889.00)"	7/1/2019	 July 	2019	
Brazil	 Burlington 	3942	 $120.00 	 $20.00 	" $78,840.00 "	 $852.60 	" $77,987.40 "	" $6,090.00 "	" $71,897.40 "	8/1/2019	 August 	2019	
India	 Burlington 	2498	 $120.00 	 $125.00 	" $312,250.00 "	" $18,261.25 "	" $293,988.75 "	" $250,440.00 "	" $43,548.75 "	9/1/2019	 September 	2019	
United Kingdom	 Burlington 	2517	 $120.00 	 $20.00 	" $50,340.00 "	" $2,766.40 "	" $47,573.60 "	" $19,760.00 "	" $27,813.60 "	10/1/2019	 October 	2019	
United States of America	 Burlington 	3182	 $120.00 	 $20.00 	" $63,640.00 "	" $1,989.40 "	" $61,650.60 "	" $14,210.00 "	" $47,440.60 "	12/1/2018	 December 	2018	
United States of America	 Burlington 	1145	 $120.00 	 $300.00 	" $343,500.00 "	" $28,812.00 "	" $314,688.00 "	" $343,000.00 "	" $(28,312.00)"	12/1/2019	 December 	2019	
India	 Burlington 	895	 $120.00 	 $20.00 	" $17,900.00 "	 $823.20 	" $17,076.80 "	" $5,880.00 "	" $11,196.80 "	12/1/2018	 December 	2018	
Japan	 Mandarin 	3814	 $250.00 	 $12.00 	" $45,768.00 "	" $2,725.38 "	" $43,042.62 "	" $9,733.50 "	" $33,309.12 "	1/1/2019	 January 	2019	
United Kingdom	 Mandarin 	1188	 $250.00 	 $300.00 	" $356,400.00 "	" $20,139.00 "	" $336,261.00 "	" $239,750.00 "	" $96,511.00 "	2/1/2019	 February 	2019	
Brazil	 Mandarin 	2233	 $250.00 	 $300.00 	" $669,900.00 "	" $57,687.00 "	" $612,213.00 "	" $686,750.00 "	" $(74,537.00)"	2/1/2019	 February 	2019	
Japan	 Luxe 	421	 $260.00 	 $125.00 	" $52,625.00 "	" $14,393.75 "	" $38,231.25 "	" $197,400.00 "	" $(159,168.75)"	5/1/2019	 May 	2019	
United Kingdom	 Luxe 	269	 $260.00 	 $350.00 	" $94,150.00 "	" $70,462.00 "	" $23,688.00 "	" $747,760.00 "	" $(724,072.00)"	9/1/2019	 September 	2019	
India	 Luxe 	3766	 $260.00 	 $125.00 	" $470,750.00 "	" $8,697.50 "	" $462,052.50 "	" $119,280.00 "	" $342,772.50 "	9/1/2018	 September 	2018	
Japan	 Luxe 	952	 $260.00 	 $20.00 	" $19,040.00 "	" $1,565.20 "	" $17,474.80 "	" $11,180.00 "	" $6,294.80 "	11/1/2019	 November 	2019	
United States of America	 Luxe 	2964	 $260.00 	 $300.00 	" $889,200.00 "	" $28,812.00 "	" $860,388.00 "	" $343,000.00 "	" $517,388.00 "	12/1/2019	 December 	2019	
Japan	 Royal Oak 	1505	 $5.00 	 $7.00 	" $10,535.00 "	 $273.28 	" $10,261.72 "	" $2,440.00 "	" $7,821.72 "	2/1/2019	 February 	2019	
United States of America	 Royal Oak 	1678	 $5.00 	 $20.00 	" $33,560.00 "	" $2,051.20 "	" $31,508.80 "	" $12,820.00 "	" $18,688.80 "	6/1/2019	 June 	2019	
Japan	 Vermont 	4249	 $10.00 	 $7.00 	" $29,743.00 "	 $143.92 	" $29,599.08 "	" $1,285.00 "	" $28,314.08 "	5/1/2019	 May 	2019	
United States of America	 Luxe 	1677	 $260.00 	 $20.00 	" $33,540.00 "	" $2,051.20 "	" $31,488.80 "	" $12,820.00 "	" $18,668.80 "	6/1/2019	 June 	2019	
Brazil	 Kensington 	3051	 $3.00 	 $125.00 	" $381,375.00 "	" $15,400.00 "	" $365,975.00 "	" $184,800.00 "	" $181,175.00 "	8/1/2019	 August 	2019	
United Kingdom	 Kensington 	3372	 $3.00 	 $15.00 	" $50,580.00 "	 $588.00 	" $49,992.00 "	" $4,900.00 "	" $45,092.00 "	11/1/2019	 November 	2019	
Brazil	 Kensington 	1686	 $3.00 	 $350.00 	" $590,100.00 "	" $38,136.00 "	" $551,964.00 "	" $354,120.00 "	" $197,844.00 "	12/1/2019	 December 	2019	
United Kingdom	 Royal Oak 	3086	 $5.00 	 $15.00 	" $46,290.00 "	" $3,001.20 "	" $43,288.80 "	" $25,010.00 "	" $18,278.80 "	3/1/2019	 March 	2019	
Japan	 Royal Oak 	4150	 $5.00 	 $20.00 	" $83,000.00 "	" $1,132.80 "	" $81,867.20 "	" $7,080.00 "	" $74,787.20 "	6/1/2019	 June 	2019	
India	 Royal Oak 	3027	 $5.00 	 $20.00 	" $60,540.00 "	" $1,032.00 "	" $59,508.00 "	" $6,450.00 "	" $53,058.00 "	7/1/2019	 July 	2019	
United Kingdom	 Royal Oak 	4359	 $5.00 	 $300.00 	" $1,307,700.00 "	" $37,488.00 "	" $1,270,212.00 "	" $390,500.00 "	" $879,712.00 "	8/1/2019	 August 	2019	
Japan	 Royal Oak 	3628	 $5.00 	 $300.00 	" $1,088,400.00 "	" $30,792.00 "	" $1,057,608.00 "	" $320,750.00 "	" $736,858.00 "	9/1/2018	 September 	2018	
India	 Royal Oak 	1589	 $5.00 	 $15.00 	" $23,835.00 "	 $853.20 	" $22,981.80 "	" $7,110.00 "	" $15,871.80 "	12/1/2019	 December 	2019	
Brazil	 Vermont 	2679	 $10.00 	 $125.00 	" $334,875.00 "	" $11,140.00 "	" $323,735.00 "	" $133,680.00 "	" $190,055.00 "	3/1/2019	 March 	2019	
India	 Vermont 	3401	 $10.00 	 $7.00 	" $23,807.00 "	 $705.04 	" $23,101.96 "	" $6,295.00 "	" $16,806.96 "	4/1/2019	 April 	2019	
India	 Vermont 	2815	 $10.00 	 $7.00 	" $19,705.00 "	 $613.20 	" $19,091.80 "	" $5,475.00 "	" $13,616.80 "	5/1/2019	 May 	2019	
India	 Vermont 	2964	 $10.00 	 $20.00 	" $59,280.00 "	" $2,185.60 "	" $57,094.40 "	" $13,660.00 "	" $43,434.40 "	6/1/2019	 June 	2019	
Brazil	 Vermont 	4173	 $10.00 	 $300.00 	" $1,251,900.00 "	" $59,040.00 "	" $1,192,860.00 "	" $615,000.00 "	" $577,860.00 "	6/1/2019	 June 	2019	
United States of America	 Vermont 	1157	 $10.00 	 $7.00 	" $8,099.00 "	 $379.68 	" $7,719.32 "	" $3,390.00 "	" $4,329.32 "	8/1/2019	 August 	2019	
India	 Vermont 	3065	 $10.00 	 $7.00 	" $21,455.00 "	 $894.88 	" $20,560.12 "	" $7,990.00 "	" $12,570.12 "	8/1/2019	 August 	2019	
India	 Vermont 	1962	 $10.00 	 $7.00 	" $13,734.00 "	" $1,349.04 "	" $12,384.96 "	" $12,045.00 "	 $339.96 	9/1/2018	 September 	2018	
India	 Vermont 	4080	 $10.00 	 $20.00 	" $81,600.00 "	" $3,094.40 "	" $78,505.60 "	" $19,340.00 "	" $59,165.60 "	9/1/2019	 September 	2019	
Brazil	 Vermont 	1713	 $10.00 	 $20.00 	" $34,260.00 "	" $4,788.80 "	" $29,471.20 "	" $29,930.00 "	 $(458.80)	9/1/2019	 September 	2019	
India	 Vermont 	2795	 $10.00 	 $350.00 	" $978,250.00 "	" $60,088.00 "	" $918,162.00 "	" $557,960.00 "	" $360,202.00 "	11/1/2018	 November 	2018	
Brazil	 Vermont 	4082	 $10.00 	 $7.00 	" $28,574.00 "	" $1,089.76 "	" $27,484.24 "	" $9,730.00 "	" $17,754.24 "	12/1/2018	 December 	2018	
Brazil	 Vermont 	1691	 $10.00 	 $350.00 	" $591,850.00 "	" $38,136.00 "	" $553,714.00 "	" $354,120.00 "	" $199,594.00 "	12/1/2019	 December 	2019	
Japan	 Burlington 	2305	 $120.00 	 $12.00 	" $27,660.00 "	 $574.08 	" $27,085.92 "	" $1,794.00 "	" $25,291.92 "	3/1/2019	 March 	2019	
United States of America	 Burlington 	3401	 $120.00 	 $7.00 	" $23,807.00 "	" $1,627.92 "	" $22,179.08 "	" $14,535.00 "	" $7,644.08 "	6/1/2019	 June 	2019	
India	 Burlington 	2288	 $120.00 	 $7.00 	" $16,016.00 "	" $1,309.28 "	" $14,706.72 "	" $11,690.00 "	" $3,016.72 "	6/1/2019	 June 	2019	
United Kingdom	 Burlington 	2399	 $120.00 	 $300.00 	" $719,700.00 "	" $9,264.00 "	" $710,436.00 "	" $96,500.00 "	" $613,936.00 "	11/1/2018	 November 	2018	
Brazil	 Burlington 	4086	 $120.00 	 $300.00 	" $1,225,800.00 "	" $15,240.00 "	" $1,210,560.00 "	" $158,750.00 "	" $1,051,810.00 "	12/1/2019	 December 	2019	
United Kingdom	 Mandarin 	2651	 $250.00 	 $350.00 	" $927,850.00 "	" $16,086.00 "	" $911,764.00 "	" $149,370.00 "	" $762,394.00 "	4/1/2019	 April 	2019	
India	 Mandarin 	3971	 $250.00 	 $7.00 	" $27,797.00 "	" $1,309.28 "	" $26,487.72 "	" $11,690.00 "	" $14,797.72 "	6/1/2019	 June 	2019	
United Kingdom	 Mandarin 	2512	 $250.00 	 $350.00 	" $879,200.00 "	" $10,668.00 "	" $868,532.00 "	" $99,060.00 "	" $769,472.00 "	8/1/2019	 August 	2019	
India	 Mandarin 	2745	 $250.00 	 $350.00 	" $960,750.00 "	" $11,816.00 "	" $948,934.00 "	" $109,720.00 "	" $839,214.00 "	8/1/2019	 August 	2019	
Japan	 Mandarin 	1903	 $250.00 	 $300.00 	" $570,900.00 "	" $51,216.00 "	" $519,684.00 "	" $533,500.00 "	" $(13,816.00)"	9/1/2019	 September 	2019	
United States of America	 Mandarin 	647	 $250.00 	 $300.00 	" $194,100.00 "	" $19,392.00 "	" $174,708.00 "	" $202,000.00 "	" $(27,292.00)"	12/1/2018	 December 	2018	
Japan	 Luxe 	2914	 $260.00 	 $20.00 	" $58,280.00 "	" $1,132.80 "	" $57,147.20 "	" $7,080.00 "	" $50,067.20 "	6/1/2019	 June 	2019	
United States of America	 Luxe 	1889	 $260.00 	 $7.00 	" $13,223.00 "	" $1,627.92 "	" $11,595.08 "	" $14,535.00 "	" $(2,939.92)"	6/1/2019	 June 	2019	
India	 Luxe 	1466	 $260.00 	 $20.00 	" $29,320.00 "	" $2,185.60 "	" $27,134.40 "	" $13,660.00 "	" $13,474.40 "	6/1/2019	 June 	2019	
Brazil	 Luxe 	887	 $260.00 	 $300.00 	" $266,100.00 "	" $59,040.00 "	" $207,060.00 "	" $615,000.00 "	" $(407,940.00)"	6/1/2019	 June 	2019	
India	 Luxe 	395	 $260.00 	 $20.00 	" $7,900.00 "	" $2,432.00 "	" $5,468.00 "	" $15,200.00 "	" $(9,732.00)"	11/1/2019	 November 	2019	
India	 Luxe 	1693	 $260.00 	 $15.00 	" $25,395.00 "	 $853.20 	" $24,541.80 "	" $7,110.00 "	" $17,431.80 "	12/1/2019	 December 	2019	
Brazil	 Luxe 	2459	 $260.00 	 $12.00 	" $29,508.00 "	" $1,320.00 "	" $28,188.00 "	" $4,125.00 "	" $24,063.00 "	12/1/2018	 December 	2018	
Brazil	 Luxe 	2649	 $260.00 	 $300.00 	" $794,700.00 "	" $15,240.00 "	" $779,460.00 "	" $158,750.00 "	" $620,710.00 "	12/1/2019	 December 	2019	
United States of America	 Mandarin 	3608	 $250.00 	 $20.00 	" $72,160.00 "	 $698.40 	" $71,461.60 "	" $4,365.00 "	" $67,096.60 "	7/1/2019	 July 	2019	
Japan	 Kensington 	1073	 $3.00 	 $300.00 	" $321,900.00 "	" $29,538.00 "	" $292,362.00 "	" $273,500.00 "	" $18,862.00 "	6/1/2019	 June 	2019	
Brazil	 Kensington 	1754	 $3.00 	 $12.00 	" $21,048.00 "	 $396.36 	" $20,651.64 "	" $1,101.00 "	" $19,550.64 "	10/1/2018	 October 	2018	
Japan	 Royal Oak 	2167	 $5.00 	 $300.00 	" $650,100.00 "	" $102,667.50 "	" $547,432.50 "	" $950,625.00 "	" $(403,192.50)"	4/1/2019	 April 	2019	
United Kingdom	 Royal Oak 	1319	 $5.00 	 $350.00 	" $461,650.00 "	" $52,479.00 "	" $409,171.00 "	" $433,160.00 "	" $(23,989.00)"	5/1/2019	 May 	2019	
United Kingdom	 Royal Oak 	1679	 $5.00 	 $300.00 	" $503,700.00 "	" $8,694.00 "	" $495,006.00 "	" $80,500.00 "	" $414,506.00 "	9/1/2018	 September 	2018	
Japan	 Royal Oak 	1252	 $5.00 	 $12.00 	" $15,024.00 "	" $2,506.68 "	" $12,517.32 "	" $6,963.00 "	" $5,554.32 "	11/1/2019	 November 	2019	
United Kingdom	 Royal Oak 	3493	 $5.00 	 $125.00 	" $436,625.00 "	" $20,891.25 "	" $415,733.75 "	" $222,840.00 "	" $192,893.75 "	11/1/2018	 November 	2018	
Japan	 Royal Oak 	1697	 $5.00 	 $7.00 	" $11,879.00 "	" $1,014.93 "	" $10,864.07 "	" $8,055.00 "	" $2,809.07 "	12/1/2018	 December 	2018	
United States of America	 Royal Oak 	1156	 $5.00 	 $125.00 	" $144,500.00 "	" $31,466.25 "	" $113,033.75 "	" $335,640.00 "	" $(222,606.25)"	12/1/2019	 December 	2019	
India	 Royal Oak 	726	 $5.00 	 $300.00 	" $217,800.00 "	" $9,018.00 "	" $208,782.00 "	" $83,500.00 "	" $125,282.00 "	12/1/2018	 December 	2018	
Brazil	 Vermont 	1153	 $10.00 	 $300.00 	" $345,900.00 "	" $69,255.00 "	" $276,645.00 "	" $641,250.00 "	" $(364,605.00)"	1/1/2019	 January 	2019	
Brazil	 Vermont 	2720	 $10.00 	 $350.00 	" $952,000.00 "	" $76,135.50 "	" $875,864.50 "	" $628,420.00 "	" $247,444.50 "	1/1/2019	 January 	2019	
United States of America	 Vermont 	3658	 $10.00 	 $15.00 	" $54,870.00 "	" $4,961.25 "	" $49,908.75 "	" $36,750.00 "	" $13,158.75 "	4/1/2019	 April 	2019	
Japan	 Vermont 	2950	 $10.00 	 $300.00 	" $885,000.00 "	" $29,538.00 "	" $855,462.00 "	" $273,500.00 "	" $581,962.00 "	6/1/2019	 June 	2019	
United Kingdom	 Vermont 	1821	 $10.00 	 $15.00 	" $27,315.00 "	" $1,656.45 "	" $25,658.55 "	" $12,270.00 "	" $13,388.55 "	10/1/2019	 October 	2019	
Brazil	 Vermont 	4174	 $10.00 	 $12.00 	" $50,088.00 "	 $396.36 	" $49,691.64 "	" $1,101.00 "	" $48,590.64 "	10/1/2018	 October 	2018	
United Kingdom	 Vermont 	1127	 $10.00 	 $300.00 	" $338,100.00 "	" $35,748.00 "	" $302,352.00 "	" $331,000.00 "	" $(28,648.00)"	11/1/2019	 November 	2019	
India	 Vermont 	2209	 $10.00 	 $12.00 	" $26,508.00 "	" $1,917.00 "	" $24,591.00 "	" $5,325.00 "	" $19,266.00 "	11/1/2018	 November 	2018	
United States of America	 Vermont 	862	 $10.00 	 $125.00 	" $107,750.00 "	" $31,466.25 "	" $76,283.75 "	" $335,640.00 "	" $(259,356.25)"	12/1/2019	 December 	2019	
Brazil	 Burlington 	3805	 $120.00 	 $15.00 	" $57,075.00 "	 $330.75 	" $56,744.25 "	" $2,450.00 "	" $54,294.25 "	5/1/2019	 May 	2019	
Japan	 Burlington 	1415	 $120.00 	 $300.00 	" $424,500.00 "	" $102,424.50 "	" $322,075.50 "	" $948,375.00 "	" $(626,299.50)"	7/1/2019	 July 	2019	
India	 Burlington 	2231	 $120.00 	 $350.00 	" $780,850.00 "	" $41,170.50 "	" $739,679.50 "	" $339,820.00 "	" $399,859.50 "	7/1/2019	 July 	2019	
Japan	 Burlington 	3649	 $120.00 	 $125.00 	" $456,125.00 "	" $6,378.75 "	" $449,746.25 "	" $68,040.00 "	" $381,706.25 "	9/1/2019	 September 	2019	
Brazil	 Burlington 	2948	 $120.00 	 $125.00 	" $368,500.00 "	" $23,737.50 "	" $344,762.50 "	" $253,200.00 "	" $91,562.50 "	9/1/2019	 September 	2019	
Japan	 Burlington 	3395	 $120.00 	 $350.00 	" $1,188,250.00 "	" $39,973.50 "	" $1,148,276.50 "	" $329,940.00 "	" $818,336.50 "	10/1/2019	 October 	2019	
United States of America	 Mandarin 	2650	 $250.00 	 $12.00 	" $31,800.00 "	" $2,112.48 "	" $29,687.52 "	" $5,868.00 "	" $23,819.52 "	1/1/2019	 January 	2019	
India	 Mandarin 	585	 $250.00 	 $300.00 	" $175,500.00 "	" $71,793.00 "	" $103,707.00 "	" $664,750.00 "	" $(561,043.00)"	2/1/2019	 February 	2019	
United States of America	 Mandarin 	1316	 $250.00 	 $350.00 	" $460,600.00 "	" $42,572.25 "	" $418,027.75 "	" $351,390.00 "	" $66,637.75 "	4/1/2019	 April 	2019	
India	 Mandarin 	4459	 $250.00 	 $12.00 	" $53,508.00 "	 $950.40 	" $52,557.60 "	" $2,640.00 "	" $49,917.60 "	5/1/2019	 May 	2019	
United States of America	 Mandarin 	2711	 $250.00 	 $300.00 	" $813,300.00 "	" $50,409.00 "	" $762,891.00 "	" $466,750.00 "	" $296,141.00 "	9/1/2019	 September 	2019	
United Kingdom	 Mandarin 	2621	 $250.00 	 $12.00 	" $31,452.00 "	" $2,412.72 "	" $29,039.28 "	" $6,702.00 "	" $22,337.28 "	9/1/2018	 September 	2018	
United Kingdom	 Mandarin 	3613	 $250.00 	 $15.00 	" $54,195.00 "	" $1,656.45 "	" $52,538.55 "	" $12,270.00 "	" $40,268.55 "	10/1/2019	 October 	2019	
Brazil	 Mandarin 	1847	 $250.00 	 $125.00 	" $230,875.00 "	" $9,866.25 "	" $221,008.75 "	" $105,240.00 "	" $115,768.75 "	11/1/2019	 November 	2019	
United States of America	 Luxe 	2996	 $260.00 	 $350.00 	" $1,048,600.00 "	" $65,236.50 "	" $983,363.50 "	" $538,460.00 "	" $444,903.50 "	9/1/2019	 September 	2019	
Japan	 Luxe 	2838	 $260.00 	 $350.00 	" $993,300.00 "	" $39,973.50 "	" $953,326.50 "	" $329,940.00 "	" $623,386.50 "	10/1/2019	 October 	2019	
India	 Luxe 	1302	 $260.00 	 $15.00 	" $19,530.00 "	" $1,309.50 "	" $18,220.50 "	" $9,700.00 "	" $8,520.50 "	11/1/2018	 November 	2018	
Brazil	 Luxe 	1536	 $260.00 	 $20.00 	" $30,720.00 "	" $3,049.20 "	" $27,670.80 "	" $16,940.00 "	" $10,730.80 "	11/1/2019	 November 	2019	
India	 Kensington 	1291	 $3.00 	 $20.00 	" $25,820.00 "	" $1,193.40 "	" $24,626.60 "	" $6,630.00 "	" $17,996.60 "	5/1/2019	 May 	2019	
Japan	 Kensington 	1213	 $3.00 	 $7.00 	" $8,491.00 "	 $515.97 	" $7,975.03 "	" $4,095.00 "	" $3,880.03 "	7/1/2019	 July 	2019	
India	 Kensington 	2370	 $3.00 	 $12.00 	" $28,440.00 "	" $1,706.40 "	" $26,733.60 "	" $4,740.00 "	" $21,993.60 "	9/1/2019	 September 	2019	
Brazil	 Kensington 	1979	 $3.00 	 $7.00 	" $13,853.00 "	 $328.23 	" $13,524.77 "	" $2,605.00 "	" $10,919.77 "	12/1/2019	 December 	2019	
United States of America	 Vermont 	2879	 $10.00 	 $20.00 	" $57,580.00 "	" $1,751.40 "	" $55,828.60 "	" $9,730.00 "	" $46,098.60 "	3/1/2019	 March 	2019	
Brazil	 Vermont 	1707	 $10.00 	 $20.00 	" $34,140.00 "	" $1,868.40 "	" $32,271.60 "	" $10,380.00 "	" $21,891.60 "	6/1/2019	 June 	2019	
India	 Vermont 	2933	 $10.00 	 $7.00 	" $20,531.00 "	 $226.80 	" $20,304.20 "	" $1,800.00 "	" $18,504.20 "	10/1/2019	 October 	2019	
